imagesize,conv_timex4,cov_timex1,h2dtime_img_transfer,d2htime_corners_transfer
512,0.0008151531219482422,0.0006272792816162109,0.0004017353057861328,0.0012669563293457031
1024,0.0015401840209960938,0.002473115921020508,0.001108407974243164,0.003143787384033203
2048,0.004492044448852539,0.009812593460083008,0.0040094852447509766,0.009068965911865234
4096,0.01601719856262207,0.03914618492126465,0.015241622924804688,0.029101133346557617
8192,0.055380821228027344,0.1360762119293213,0.05981707572937012,0.1134176254272461
